"participant_id","trial_num","phase","rotation_angle","trial_type","ref_object","comp_object","object_identity","response","correct_response","correct","rt_ms","sex","gaming_hrs_week","gaming_group"
"20260403_182246",2,"main",90,"different","8cube_B","8cube_B_mirror","8cube_B","same","different",0,4803.01,"F",1,"Low"
"20260403_182246",3,"main",180,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,7529.68,"F",1,"Low"
"20260403_182246",4,"main",0,"same","8cube_B","8cube_B","8cube_B","same","same",1,2387.92,"F",1,"Low"
"20260403_182246",5,"main",270,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","same","different",0,15494.27,"F",1,"Low"
"20260403_182246",6,"main",90,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,10313.55,"F",1,"Low"
"20260403_182246",7,"main",90,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,9456.8,"F",1,"Low"
"20260403_182246",8,"main",0,"same","10cube_A","10cube_A","10cube_A","same","same",1,3154.29,"F",1,"Low"
"20260403_182246",9,"main",180,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","same","different",0,12253.9,"F",1,"Low"
"20260403_182246",10,"main",270,"same","10cube_A","10cube_A","10cube_A","same","same",1,5378.53,"F",1,"Low"
"20260403_182246",11,"main",180,"same","8cube_B","8cube_B","8cube_B","different","same",0,10045.17,"F",1,"Low"
"20260403_182246",12,"main",0,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,6128.64,"F",1,"Low"
"20260403_182246",13,"main",180,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,11685.3,"F",1,"Low"
"20260403_182246",14,"main",270,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,5048.19,"F",1,"Low"
"20260403_182246",15,"main",90,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,11398.76,"F",1,"Low"
"20260403_182246",16,"main",0,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,3487.71,"F",1,"Low"
"20260403_182246",17,"main",90,"same","8cube_B","8cube_B","8cube_B","different","same",0,7697.02,"F",1,"Low"
"20260403_182246",18,"main",180,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,11267.72,"F",1,"Low"
"20260403_182246",19,"main",0,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,2142.07,"F",1,"Low"
"20260403_182246",20,"main",270,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,10370.67,"F",1,"Low"
"20260403_182246",21,"main",180,"different","10cube_A","10cube_A_mirror","10cube_A","same","different",0,7246.62,"F",1,"Low"
"20260403_182246",22,"main",270,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,9413.38,"F",1,"Low"
"20260403_182246",23,"main",0,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,10074.1,"F",1,"Low"
"20260403_182246",24,"main",180,"same","10cube_A","10cube_A","10cube_A","same","same",1,6154.05,"F",1,"Low"
"20260403_182246",25,"main",90,"same","10cube_A","10cube_A","10cube_A","same","same",1,3863.41,"F",1,"Low"
"20260403_182246",26,"main",0,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,14253.86,"F",1,"Low"
"20260403_182246",27,"main",90,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","same","different",0,6497.61,"F",1,"Low"
"20260403_182246",28,"main",270,"different","10cube_A","10cube_A_mirror","10cube_A","same","different",0,12221.91,"F",1,"Low"
